Symbol,Company Name,Industry,Selected Trading Day,Open Price,Previous Trading Day,Previous High,Previous Close
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,2025-07-01,278.5,2025-06-30,278.09,276.6
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,2025-07-01,582.0,2025-06-30,579.05,577.45
APARINDS,Apar Industries Ltd.,Capital Goods,2025-07-01,8850.0,2025-06-30,8757.0,8721.5
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,2025-07-01,7475.0,2025-06-30,7336.5,7242.0
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,2025-07-01,764.8,2025-06-30,761.8,759.15
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,2025-07-01,14473.0,2025-06-30,14450.0,14379.0
BDL,Bharat Dynamics Ltd.,Capital Goods,2025-07-01,1962.1,2025-06-30,1954.9,1943.2
BEL,Bharat Electronics Ltd.,Capital Goods,2025-07-01,424.8,2025-06-30,423.0,421.5
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,2025-07-01,5597.0,2025-06-30,5595.5,5570.5
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,2025-07-01,2361.1,2025-06-30,1771.1,1771.1
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,2025-07-01,659.2,2025-06-30,659.0,657.9
JBMA,JBM Auto Ltd.,Automobile and Auto Components,2025-07-01,646.0,2025-06-30,645.75,642.85
LAURUSLABS,Laurus Labs Ltd.,Healthcare,2025-07-01,730.0,2025-06-30,727.0,724.85
RAYMOND,Raymond Ltd.,Realty,2025-07-01,719.95,2025-06-30,717.95,709.4
SOBHA,Sobha Ltd.,Realty,2025-07-01,1475.0,2025-06-30,1474.0,1465.8
TITAN,Titan Company Ltd.,Consumer Durables,2025-07-01,3699.0,2025-06-30,3698.5,3690.2
UPL,UPL Ltd.,Chemicals,2025-07-01,665.0,2025-06-30,664.5,661.25
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,2025-07-01,994.95,2025-06-30,991.0,989.95
