Symbol,Company Name,Industry,Selected Trading Day,Open Price,Previous Trading Day,Previous High,Previous Close
3MINDIA,3M India Ltd.,Diversified,2025-06-26,28695.0,2025-06-25,28635.0,28500.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,2025-06-26,1132.0,2025-06-25,1122.1,1120.2
BLS,BLS International Services Ltd.,Consumer Services,2025-06-26,370.9,2025-06-25,370.45,369.25
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,2025-06-26,214.05,2025-06-25,212.91,211.3
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,2025-06-26,1961.9,2025-06-25,1949.0,1944.7
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,2025-06-26,535.85,2025-06-25,535.75,533.35
FINCABLES,Finolex Cables Ltd.,Capital Goods,2025-06-26,948.0,2025-06-25,945.95,939.2
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,2025-06-26,759.0,2025-06-25,756.0,753.0
GODREJAGRO,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,2025-06-26,771.0,2025-06-25,769.2,765.3
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,2025-06-26,542.9,2025-06-25,542.8,540.35
KANSAINER,Kansai Nerolac Paints Ltd.,Consumer Durables,2025-06-26,246.0,2025-06-25,245.75,243.75
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,2025-06-26,657.0,2025-06-25,655.4,652.25
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,2025-06-26,60.23,2025-06-25,59.98,59.76
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,2025-06-26,1165.0,2025-06-25,1155.0,1151.6
PEL,Piramal Enterprises Ltd.,Financial Services,2025-06-26,1132.5,2025-06-25,1130.0,1127.0
RAYMOND,Raymond Ltd.,Realty,2025-06-26,606.55,2025-06-25,604.7,600.45
ROUTE,Route Mobile Ltd.,Telecommunication,2025-06-26,993.9,2025-06-25,992.15,986.9
SUNDRMFAST,Sundram Fasteners Ltd.,Automobile and Auto Components,2025-06-26,994.0,2025-06-25,990.0,986.6
TATACOMM,Tata Communications Ltd.,Telecommunication,2025-06-26,1682.0,2025-06-25,1676.4,1672.2
TEJASNET,Tejas Networks Ltd.,Telecommunication,2025-06-26,715.0,2025-06-25,704.4,697.45
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,2025-06-26,1049.0,2025-06-25,1048.35,1042.85
TRIDENT,Trident Ltd.,Textiles,2025-06-26,31.05,2025-06-25,30.88,30.59
